,name,website,phone,googlemaps_link,category,zone
0,El Arte de Sublimar Luna,paginasamarillas.com.ar,03512437603,"https://www.google.com/maps/place/El+Arte+de+Sublimar+Luna/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a38fc1f54485:0xd49e944cd2e85644!8m2!3d-31.4222166!4d-64.201076!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCnByaW50X3Nob3DgAQA!16s%2Fg%2F11t9q42xz1?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
1,MyS INSUMOS PARA ESTAMPAR Y REGALERIA,mercadoshops.com.ar,03516846611,"https://www.google.com/maps/place/MyS+INSUMOS+PARA+ESTAMPAR+Y+REGALERIA/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a3da25b8465b:0x3479f8776d52dc29!8m2!3d-31.4398206!4d-64.159922!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFHNjcmVlbl9wcmludGluZ19zaG9w4AEA!16s%2Fg%2F11ty70z7_6?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
4,SIC SUBLIMACIÓN,sicsublimacion.com,03514270347,"https://www.google.com/maps/place/SIC+SUBLIMACI%C3%93N/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432987e5b45a859:0x5aeda8b819ca7591!8m2!3d-31.4106112!4d-64.192832!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCnByaW50X3Nob3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhjR1p0T0ZoM0VBReABAA!16s%2Fg%2F11gg_wj0wn?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
5,Copy Show - Remeras estampadas y estampados en general - Córdoba,copyshow.com.ar,03514221162,"https://www.google.com/maps/place/Copy+Show+-+Remeras+estampadas+y+estampados+en+general+-+C%C3%B3rdoba/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432987fd5b73537:0xb4e25789e59f2544!8m2!3d-31.4123395!4d-64.1946924!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFGN1c3RvbV90X3NoaXJ0X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJsTVMxTWFGcFJFQUXgAQA!16s%2Fg%2F1th5dnng?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
12,Cayetano Gráfica Insumos para Sublimación,cayetanografica.com.ar,03517635715,"https://www.google.com/maps/place/Cayetano+Gr%C3%A1fica+Insumos+para+Sublimaci%C3%B3n/@-31.3270055,-64.5412335,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a3508fd75f29:0x33ff763cc59681da!8m2!3d-31.4317096!4d-64.193923!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBHHNjcmVlbl9wcmludGluZ19zdXBwbHlfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTm9hR042UjNwM1JSQULgAQA!16s%2Fg%2F11nyn94lq_?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
14,VITTO SUBLIMACIÓN Serigrafia Merchandising,linktr.ee,03514263017,"https://www.google.com/maps/place/VITTO+SUBLIMACI%C3%93N+Serigrafia+Merchandising/@-31.412342,-64.4675863,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329879d24d5d41:0x70bc10b0a2f62bbd!8m2!3d-31.4086994!4d-64.1833668!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBEmFkdmVydGlzaW5nX2FnZW5jeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOamFYQnRXVGQzUlJBQuABAA!16s%2Fg%2F1td26jjj?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
16,FLUX Estamperia Textil,fluxestampados.com.ar,03516654321,"https://www.google.com/maps/place/FLUX+Estamperia+Textil/@-31.445276,-64.5264999,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329820b516fcdf:0xd06181ae5eea36b4!8m2!3d-31.3782123!4d-64.1489358!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCnByaW50X3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjRhWFZETldsUlJSQULgAQA!16s%2Fg%2F1td59q3y?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
17,SUBLISHOP,sublishop.com.ar,03516622381,"https://www.google.com/maps/place/SUBLISHOP/@-31.3782123,-64.4373269,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299abfa6e07ef:0x5c86485309c15300!8m2!3d-31.3977854!4d-64.1907802!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCndob2xlc2FsZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXhka3BIWTA5UkVBReABAA!16s%2Fg%2F11f9dkq46r?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
19,ESTAMPADOS CÓRDOBA,estampadoscordoba.com.ar,03518091602,"https://www.google.com/maps/place/ESTAMPADOS+C%C3%93RDOBA/@-31.4014965,-64.5280219,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329909150cddd3:0x7b5e3ffa0b63ca78!8m2!3d-31.3994532!4d-64.1942124!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBDXRfc2hpcnRfc3RvcmXgAQA!16s%2Fg%2F11gb3r010x?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
22,FotoShopRegalos Sublimación y Afines,fotoshopregalos.com.ar,03514783190,"https://www.google.com/maps/place/FotoShopRegalos+Sublimaci%C3%B3n+y+Afines/@-31.4014965,-64.5280219,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329826486f25e9:0xa2f4dca36b8a723c!8m2!3d-31.375347!4d-64.151433!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCndob2xlc2FsZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjVjRzh6Vkc1QlJSQULgAQA!16s%2Fg%2F11btyt7_wp?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
