name,website,reviews_score,reviews_amount,phone,googlemaps_link,category,zone
COSEHIN,,4.5,47,2664423035,"https://www.google.com/maps/place/COSEHIN/@-33.2976297,-66.3920661,12z/data=!4m10!1m2!2m1!1sEmpresa+de+fumigaci%C3%83%C2%B3n+y+control+de+plagas+en+san+luis!3m6!1s0x95d43be46db08ec1:0xd1b67090cdfc8a!8m2!3d-33.3141379!4d-66.3451881!15sCjhFbXByZXNhIGRlIGZ1bWlnYWNpw4PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc1o6IjhlbXByZXNhIGRlIGZ1bWlnYWNpw6PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1tf_v1g2?entry=ttu",Empresa de fumigaciÃ³n y control de plagas,san luis
Fumigaciones Solube,solube.com,4.7,41,2664657890,"https://www.google.com/maps/place/Fumigaciones+Solube/@-33.3141379,-66.4893837,12z/data=!4m10!1m2!2m1!1sEmpresa+de+fumigaci%C3%83%C2%B3n+y+control+de+plagas+en+san+luis!3m6!1s0x95d43fff3ff80b29:0x19bcdb714d757c5!8m2!3d-33.2976569!4d-66.3096657!15sCjhFbXByZXNhIGRlIGZ1bWlnYWNpw4PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc1o6IjhlbXByZXNhIGRlIGZ1bWlnYWNpw6PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU10ZFVwdGVUSlJSUkFC4AEA!16s%2Fg%2F11mhjy96ps?entry=ttu",Empresa de fumigaciÃ³n y control de plagas,san luis
Grupo Omega Saneamientos San Luis,control-plagas.com.ar,4.9,14,266154252416,"https://www.google.com/maps/place/Grupo+Omega+Saneamientos+San+Luis/@-33.3141379,-66.4893837,12z/data=!4m10!1m2!2m1!1sEmpresa+de+fumigaci%C3%83%C2%B3n+y+control+de+plagas+en+san+luis!3m6!1s0x95d4394bd7f9a73b:0x20c98a305a0c2a8e!8m2!3d-33.3045704!4d-66.3402322!15sCjhFbXByZXNhIGRlIGZ1bWlnYWNpw4PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F11s7mkzflz?entry=ttu",Empresa de fumigaciÃ³n y control de plagas,san luis
SLM Desinfecciones,,4.3,7,2664666664,"https://www.google.com/maps/place/SLM+Desinfecciones/@-33.3141379,-66.4893837,12z/data=!4m10!1m2!2m1!1sEmpresa+de+fumigaci%C3%83%C2%B3n+y+control+de+plagas+en+san+luis!3m6!1s0x95d43953dcca645d:0xa547b04b93eee6d8!8m2!3d-33.299107!4d-66.337128!15sCjhFbXByZXNhIGRlIGZ1bWlnYWNpw4PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F11bbrn9842?entry=ttu",Empresa de fumigaciÃ³n y control de plagas,san luis
Servicios Integrados,,4.5,2,,"https://www.google.com/maps/place/Servicios+Integrados/@-33.3141379,-66.4893837,12z/data=!4m10!1m2!2m1!1sEmpresa+de+fumigaci%C3%83%C2%B3n+y+control+de+plagas+en+san+luis!3m6!1s0x95d4394c36830621:0x4941f99c5ff0b130!8m2!3d-33.2921818!4d-66.3366466!15sCjhFbXByZXNhIGRlIGZ1bWlnYWNpw4PCs24geSBjb250cm9sIGRlIHBsYWdhcyBlbiBzYW4gbHVpc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F11hbl1pqmp?entry=ttu",Empresa de fumigaciÃ³n y control de plagas,san luis
"Estudio Posca San Luis - Abogados Accidentes de Trabajo ART, Tránsito - Despidos",sanluis.estudioposca.com.ar,4.9,18,266154000449,"https://www.google.com/maps/place/Estudio+Posca+San+Luis+-+Abogados+Accidentes+de+Trabajo+ART,+Tr%C3%A1nsito+-+Despidos/@-33.3025505,-66.3490734,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439451a05de7f:0xc0fbf7be272801b1!8m2!3d-33.3001517!4d-66.3362069!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11gn1w44n2?entry=ttu",Abogado,san luis
Camargo + Asociados - Estudio Jurídico,camargoasociados.com,4.7,21,2664489066,"https://www.google.com/maps/place/Camargo+%2B+Asociados+-+Estudio+Jur%C3%ADdico/@-33.3001517,-66.3722558,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43c00ff2b7ca3:0x3db68aa7c79845d3!8m2!3d-33.3074834!4d-66.3305073!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQZsYXd5ZXLgAQA!16s%2Fg%2F1hm50d6w5?entry=ttu",Abogado,san luis
El Chaer Estudio Jurídico Integral,elchaeryasociados.com,,,2664758528,"https://www.google.com/maps/place/El+Chaer+Estudio+Jur%C3%ADdico+Integral/@-33.3001517,-66.3722558,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439458b273b6d:0x171e0ffbcaa01e9!8m2!3d-33.2946674!4d-66.3321378!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11hds42rjv?entry=ttu",Abogado,san luis
Estudio Jurídico Sarmiento - Giordano  Asoc.,m.facebook.com,5.0,11,266154615552,"https://www.google.com/maps/place/Estudio+Jur%C3%ADdico+Sarmiento+-+Giordano+%26+Asoc./@-33.3001517,-66.3722558,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439a8fa3a8655:0x1314833b8fdb8ba3!8m2!3d-33.30514!4d-66.3333359!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEObGVnYWxfc2VydmljZXPgAQA!16s%2Fg%2F11h7nbhlh6?entry=ttu",Abogado,san luis
Estudio Jurídicio Sepak | Abogados en San Luis |,wa.link,,,2664334228,"https://www.google.com/maps/place/Estudio+Jur%C3%ADdicio+Sepak+%7C+Abogados+en+San+Luis+%7C/@-33.3001517,-66.3722558,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439e9218f8799:0xee606ad7688c461a!8m2!3d-33.3037388!4d-66.3337505!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11k53qjvym?entry=ttu",Abogado,san luis
